x	exp(x)	0,9999999771824299 * EXP(x)	diff	Diff^2
-2,4	0,0907179533	0,0907179512	2,069963256357E-009	4,28474788266807E-018
-2,3	0,1002588437	0,1002588414	2,2876631838864E-009	5,23340284290927E-018
-2,2	0,1108031584	0,1108031558	2,52825882451901E-009	6,39209268375827E-018
-2,1	0,1224564283	0,1224564255	2,79415812709516E-009	7,80731963921193E-018
-2	0,1353352832	0,1353352801	3,08802231008265E-009	9,53588178756818E-018
-1,9	0,1495686192	0,1495686158	3,41279243754045E-009	1,16471522217333E-017
-1,8	0,1652988882	0,1652988844	3,77171896492889E-009	1,42258639504043E-017
-1,7	0,1826835241	0,1826835199	4,1683941021109E-009	1,73755093905129E-017
-1,6	0,201896518	0,2018965134	4,60678795111136E-009	2,12224952265048E-017
-1,5	0,2231301601	0,2231301551	5,09128805781245E-009	2,59212140876237E-017
-1,4	0,2465969639	0,2465969583	5,62674348780767E-009	3,1660242277586E-017
-1,3	0,272531793	0,2725317868	6,21851325988132E-009	3,86699071633198E-017
-1,2	0,3011942119	0,301194205	6,87252005304728E-009	4,7231531879537E-017
-1,1	0,3328710837	0,3328710761	7,59530927041396E-009	5,76887229132363E-017
-1	0,3678794412	0,3678794328	8,39411490316522E-009	7,04611650075404E-017
-0,9	0,4065696597	0,4065696505	9,27693166730137E-009	8,6061461159779E-017
-0,8	0,4493289641	0,4493289539	1,02525951062304E-008	1,051157064123E-016
-0,7	0,4965853038	0,4965852925	1,13308699645209E-008	1,28388614152883E-016
-0,6	0,5488116361	0,5488116236	1,25225479985502E-008	1,56814208375995E-016
-0,5	0,6065306597	0,6065306459	1,38395558346716E-008	1,91533305700992E-016
-0,4	0,670320046	0,6703200307	1,52950746512559E-008	2,33939308587491E-016
-0,3	0,7408182207	0,7408182038	1,69036716846094E-008	2,85734116421065E-016
-0,2	0,8187307531	0,8187307344	1,86814462788121E-008	3,48996435068141E-016
-0,1	0,904837418	0,9048373974	2,06461912011235E-008	4,26265211113351E-016
-3,5527136788005E-014	1	0,9999999772	2,28175700556221E-008	5,20641503243224E-016
0,1	1,1051709181	1,1051708929	2,52173149029034E-008	6,35912970912192E-016
0,2	1,2214027582	1,2214027303	2,78694429756143E-008	7,76705851771019E-016
0,3	1,3498588076	1,3498587768	3,0800497929917E-008	9,48670672730822E-016
0,4	1,4918246976	1,4918246636	0,000000034	1,15870897273691E-015
0,5	1,6487212707	1,6487212331	3,76198130425109E-008	1,41525033335348E-015
0,6	1,8221188004	1,8221187588	4,15763232730626E-008	1,72859065690621E-015
0,7	2,0137527075	2,0137526615	4,59489433168869E-008	2,11130539193849E-015
0,8	2,2255409285	2,2255408777	5,07814359451686E-008	2,57875423665326E-015
0,9	2,4596031112	2,459603055	5,61221664696632E-008	3,14969756924858E-015
1	2,7182818285	2,7182817664	0,000000062	3,84704925752498E-015
1,1	3,0041660239	3,0041659554	6,85477687945024E-008	4,69879660670456E-015
1,2	3,3201169227	3,320116847	7,57570006726382E-008	5,73912315091411E-015
1,3	3,6692966676	3,6692965839	8,37244336082676E-008	7,00978078302522E-015
1,4	4,0551999668	4,0551998743	9,25298095921789E-008	8,56176566316489E-015
1,5	4,4816890703	4,4816889681	1,02261254575353E-007	1,04573641873252E-014
1,6	4,9530324244	4,9530323114	0,000000113	1,27726534217767E-014
1,7	5,4739473917	5,4739472668	1,24902178377795E-007	1,56005541635185E-014
1,8	6,0496474644	6,0496473264	0,000000138	1,90545597342752E-014
1,9	6,6858944423	6,6858942897	1,52555864829651E-007	2,32732918939227E-014
2	7,3890560989	7,3890559303	1,68600305272548E-007	2,84260629379964E-014
2,1	8,1661699126	8,1661697262	1,8633215326247E-007	3,47196713394284E-014
2,2	9,0250134994	9,0250132935	2,05928877505812E-007	4,24067025908038E-014
2,3	9,9741824548	9,9741822272	2,27586607337571E-007	5,17956638394257E-014
2,4	11,0231763806	11,0231761291	2,5152209914836E-007	6,32633663599975E-014
2,5	12,1824939607	12,1824936827	0,000000278	7,72700499606331E-014
2,6	13,463738035	13,4637377278	3,07209786498674E-007	9,43778529205611E-014
2,7	14,8797317249	14,8797313854	3,39519321101989E-007	1,15273369401555E-013
2,8	16,4446467711	16,4446463959	3,75226878901458E-007	1,40795210650129E-013
2,9	18,1741453694	18,1741449548	4,14689836247817E-007	1,71967660287241E-013
3	20,0855369232	20,0855364649	4,58303144768024E-007	2,1004177250426E-013
3,1	22,1979512814	22,1979507749	5,06503308628226E-007	2,56545601651339E-013
