0.08063622901201206 * ABS(SUM(-3.614901280094738, -2.6228065660153827E-4, 41.39634138733079, 0.0023654439684199606, -5.3220773307700995, x, -0.015315425923441546))																																																			
x	y-expected	y-calculated	difference	difference^2																																															
96	9,7979589711	10,3574132085	0,5594542374	0,3129890438																																															
97	9,8488578018	10,4380494376	0,5891916358	0,3471467836																																															
98	9,8994949366	10,5186856666	0,61919073	0,3833971601																																															
99	9,9498743711	10,5993218956	0,6494475245	0,4217820871																																															
100	10	10,6799581246	0,6799581246	0,4623430512																																															
SUM			3,296293348	7,5075530524																																															
AVG			0,0326365678	0,0743322084																																															
																																																			
																																																			
generation	50	49	48	47	46	45	44	43	42	41	40	39	38	37	36	35	34	33	32	31	30	29	28	27	26	25	24	23	22	21	20	19	18	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	0
best	0,4665437308	0,4665437308	0,4665437308	0,4665437308	0,4665437308	0,4665437308	0,4665437308	0,4665437308	0,4665437308	0,4665437308	0,4665437309	0,4665437309	0,4665437309	0,4665437309	0,4665437309	0,4665437348	0,4665437348	0,4665437348	0,4665437348	0,4665437532	0,4665437532	0,4665437532	0,4665437532	0,4665441936	0,4665441936	0,4665441936	0,4665441936	0,4665441936	0,4665441936	0,4665862999	0,4674981892	0,4674981892	0,4674981892	0,4675902479	0,4675902479	0,4675902479	0,4814273784	0,4814273784	0,4909481075	0,4940728449	0,4940728449	0,6329588472	0,6329588472	1,5362970792	1,5362970792	2,199170157	2,199170157	2,199170157	6,0026099015	6,0026099015	6,0870749473
avg	0,4665437308	0,4665437308	0,4665437308	0,4665437308	0,4665437308	0,4665437308	0,4665437308	0,4665437309	0,4665437309	0,4665437309	0,4665437309	0,4665437309	0,4665437323	0,4665437341	0,4665437347	0,4665437354	0,4665437411	0,4665437491	0,466543752	0,4665438261	0,4665440476	0,4665441456	0,4665441835	0,4665449098	0,4665509459	0,4665591982	0,4666083434	0,4670859662	0,4673731672	0,4674825734	0,4675475906	0,4675800626	0,4713232854	0,4781060867	0,4805964441	0,4865633304	0,4920305022	0,4960460807	0,5278687987	0,603830088	0,7918294281	1,3309070058	1,9026862928	2,1600158731	2,2044193776	2,5788095077	4,7403414568	7,9192264443	13,4017290083	34,9166260587	898846567431158000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
worst	0,4665437308	0,4665437308	0,4665437308	0,4665437308	0,4665437308	0,4665437308	0,4665437309	0,4665437309	0,4665437309	0,4665437309	0,4665437309	0,4665437317	0,4665437348	0,4665437348	0,4665437348	0,4665437411	0,4665437532	0,4665437532	0,4665437532	0,4665441152	0,4665441936	0,4665441936	0,4665441936	0,4665510237	0,4665611876	0,4665774044	0,4673705984	0,4674981892	0,4674981892	0,4675558378	0,4675902479	0,4675902479	0,4814273784	0,4814273784	0,4908593035	0,4940728449	0,4988662884	0,4988662884	0,6329588472	0,6382689706	1,5362970792	2,199170157	2,199170157	2,1991955839	2,3123568923	6,0026099015	6,0870749473	13,0153601714	35,8973447992	61,0809604037	179769313486232000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
variance	1,88737914186278E-015	1,88737914186278E-015	1,88737914186278E-015	1,88737914186278E-015	1,88737914186278E-015	1,88737914186278E-015	3,32574617845083E-011	3,69272690203816E-011	2,96738114635709E-011	6,83745005058973E-012	1,60284674421973E-012	5,58630150471196E-011	1,46890955399215E-009	1,1351775969226E-009	3,40573733659257E-010	9,3621658453502E-010	4,72379544730339E-009	5,49885176143184E-009	2,14267872833408E-009	0,000000111	1,55207793448575E-007	7,7243976912E-008	1,9260467800375E-008	1,23891668526499E-006	0,000005135	5,08755780366436E-006	6,52512668618202E-005	0,0003610114	0,0001768801	4,42346431851353E-005	3,44622536360046E-005	1,64114273640233E-005	0,0054549255	0,0050476026	0,0018208675	0,0050644681	0,0027967093	0,0026566675	0,0410669736	0,0405585992	0,256288309	0,380889574	0,3576473062	0,0732223249	0,0265347367	0,5128950195	1,5976354421	2,922273124	3,26724411	16,3310727041	1788704669188000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
CP	0,59	0,58	0,57	0,56	0,57	0,56	0,55	0,54	0,55	0,56	0,57	0,56	0,55	0,56	0,57	0,56	0,55	0,56	0,55	0,54	0,55	0,56	0,57	0,56	0,57	0,58	0,57	0,58	0,59	0,58	0,59	0,58	0,57	0,58	0,57	0,58	0,59	0,58	0,59	0,58	0,57	0,56	0,57	0,58	0,59	0,6	0,59	0,6	0,61	0,6	0,6
MP	0,21	0,2	0,19	0,18	0,19	0,2	0,19	0,18	0,17	0,18	0,19	0,2	0,19	0,2	0,21	0,22	0,21	0,22	0,23	0,22	0,21	0,22	0,23	0,24	0,25	0,26	0,25	0,24	0,23	0,22	0,23	0,24	0,23	0,24	0,23	0,22	0,23	0,24	0,25	0,26	0,27	0,26	0,25	0,26	0,27	0,28	0,29	0,3	0,31	0,3	0,3
																																																			
																																																			
Total execution time: 9 minutes, 3.593 seconds																																																			
