currentDataSet	currentTime	freeRadicalsFactor	tourneySize	initialTemp	minTemp	minDepth	minInitialWidth	maxInitialWidth	earlyLeafProb	constProb	maxAvgForResult	popSize	maxGen	initCp	stepCp	initMp	stepMp	eval	duration	foo
exp,csv	0	0,15	3	100	1	3	3	5	400	400	10000	100	50	800	10	300	10	166114775274917000000000000000000	8 minutes, 53,348 seconds	1,0000232308227965 * MAX(EXP(x), COS(x), EXP(x), TANH(x))
exp,csv	1	0,15	5	100	1	3	2	10	400	400	10000	100	50	800	10	300	10	168803190607517000000000000000000	5 minutes, 0,941 seconds	-0,3792667370903694 * DIV(EXP(x), -0,37925785560977454)
exp,csv	0	0,15	2	100	1	3	2	10	400	400	10000	100	50	800	10	300	10	177497161763140000000000000000000	8 minutes, 56,201 seconds	0,9999757250037775 * SUM(DIV(1,124208404672453E29, -1,1222745217468965E33), ABS(-1,971806188531251E15), x, EXP(x))
exp,csv	0	0,15	3	100	1	3	2	10	400	400	10000000000000000000000000000000000000000	50	50	800	10	300	10	199708512008352000000000000000000	2 minutes, 27,714 seconds	0,999974528252058 * ABS(EXP(x))
exp,csv	0	0,15	3	100	1	3	2	10	400	400	10000	100	50	800	10	300	10	214798373500908000000000000000000	6 minutes, 13,061 seconds	1,0000264165412798 * MAX(PRODUCT(x, x, x, x), TANH(x), EXP(x))
exp,csv	1	0,15	3	100	1	3	2	10	400	400	10000	100	50	800	10	100	50	223236546036973000000000000000000	11 minutes, 1,266 seconds	1,0000296935606454 * SUM(EXP(x), x, MIN(3,133907572465084E38, x, x, x, x), PRODUCT(1686,2314188949067, -2232161,4717407133, x, x, x, x), LN(4,306781596599423E37), SIGN(x), ABS(-2,479791711304457E15))
exp,csv	0	0,05	3	100	1	3	2	10	400	400	10000	100	50	800	10	300	10	224101512910841000000000000000000	3 minutes, 30,267 seconds	0,9999730174584314 * ABS(EXP(x))
exp,csv	0	0,15	3	100	1	3	2	10	400	400	10000000000000000000000000000000000000000	200	50	600	10	100	50	230363674345307000000000000000000	9 minutes, 56,237 seconds	1,0000276547961993 * SUM(EXP(x), LN(8,192348777310902E41), -2,24673917021366E15)
exp,csv	1	0,15	3	100	1	3	2	10	400	400	10000000000000000000000000000000000000000	200	50	600	10	100	50	255924664990977000000000000000000	17 minutes, 35,165 seconds	-0,9999711612929145 * SUBTRACT(DIV(-1,4733331854695915E15, x), x, EXP(x))
exp,csv	0	0,15	3	100	1	3	2	10	200	400	10000	100	50	800	10	300	10	298466491027146000000000000000000	10 minutes, 43,197 seconds	1,0000314782988773 * SUM(EXP(x), COS(x), -2,555967955953236E15, SIGN(x), SQRT(x), TANH(x), COS(x))
exp,csv	0	0,05	2	100	1	3	2	10	400	400	10000	100	50	800	10	300	10	308396131937651000000000000000000	4 minutes, 29,944 seconds	1,0000316530032016 * ABS(EXP(x))
exp,csv	0	0,15	3	100	1	3	2	10	400	400	10000	50	50	800	10	300	10	442900441056670000000000000000000	2 minutes, 42,781 seconds	0,9999620673209075 * SUM(EXP(x), COS(x))
exp,csv	0	0,15	3	100	1	3	2	10	400	400	10000	100	50	600	50	300	10	536109089251138000000000000000000	9 minutes, 59,414 seconds	-1,0000421881080772 * SUBTRACT(x, DIV(0,0015400711416526203, 5,6648889395624265E-9), DIV(4,962737937542707, -1,448565230879872E-15), ABS(-7,829000025728134E-11), EXP(x))
exp,csv	1	0,5	2	100	1	3	2	10	400	400	10000	100	50	800	10	300	10	989787060116195000000000000000000	8 minutes, 43,152 seconds	1,0000567063046093 * EXP(MAX(-170,455144193087, x, x, 5,993354129785943, -9,228149607523818E-4, x, x, x))
exp,csv	1	0,05	2	100	1	3	2	10	400	400	10000	100	50	800	10	300	10	1052069445758400000000000000000000	5 minutes, 10,263 seconds	0,999941536789009 * EXP(MAX(x, -2,0706520994895065E59))
exp,csv	0	0,15	3	100	1	3	2	10	400	400	10000000000000000000000000000000000000000	100	50	800	10	300	10	1133789913511580000000000000000000	4 minutes, 9,579 seconds	1,0000613520131507 * SUM(EXP(x), -5,052120147456804E15)
exp,csv	1	0,15	3	100	1	3	2	10	200	400	10000	100	50	800	10	300	10	1151400538621480000000000000000000	4 minutes, 58,239 seconds	0,9999388391271595 * EXP(MAX(x, x, x))
exp,csv	0	0,15	3	100	1	3	2	10	400	400	10000	100	50	800	50	300	10	1326251827149580000000000000000000	11 minutes, 26,069 seconds	-0,5000331777145748 * SUBTRACT(MIN(-1,9554899682143935E-35, -2,7403892667504656E-44, x, x, 3,416552310416089E-27), EXP(x), -1,0777745663293892E16, EXP(x), EXP(-1,3128127255268105E-28), x)
exp,csv	0	0,5	2	100	1	3	2	10	400	400	10000	100	50	800	10	300	10	1388926532861680000000000000000000	11 minutes, 31,292 seconds	1,0000759444927638 * SUM(MAX(x, x, x, x), EXP(x), PRODUCT(x, 544,8411919365744, x, x, x, -7856,521522700739, x, x), SIN(x), LN(x))
exp,csv	1	0,15	3	100	1	3	2	10	400	700	10000	100	50	800	10	300	10	2073930514961840000000000000000000	4 minutes, 45,831 seconds	-1,000082083820387 * DIV(EXP(x), SIGN(-4,647325688915691E31))
exp,csv	0	0,15	3	100	1	3	2	10	0	400	10000	100	50	800	10	300	10	2589268109426220000000000000000000	9 minutes, 40,645 seconds	0,999907284580158 * SUM(EXP(x), LESS_THAN(x, x), TANH(x), ABS(-7,538923533893154E15), SQRT(-1,5908789527908333E-13), LN(x))
exp,csv	1	0,15	3	100	1	3	2	10	400	400	10000	100	50	800	50	300	10	2735622182997300000000000000000000	9 minutes, 39,900 seconds	0,9999047003022818 * SUM(EXP(x), MAX(x, -3276,4194770827244, x, x, x, 7,74026538032136E15, x, x), x, x, x, SIN(x))
exp,csv	0	0,15	3	100	1	3	2	10	400	400	10000	100	50	800	10	100	50	2806342724190580000000000000000000	17 minutes, 0,487 seconds	1,000096523565536 * SUBTRACT(EXP(x), x, EXP(36,60755059123386), LESS_THAN(x, x), COS(5,988837604735996E9), LN(-5,614682831937051E12), LN(x), x, COS(x))
exp,csv	1	0,15	3	100	1	3	2	10	400	400	10000	50	50	800	10	300	10	3684264859640590000000000000000000	8 minutes, 56,389 seconds	1,000110595864221 * SUBTRACT(EXP(x), SUM(-1,5230887421633296E12, x, x, 7,395600196841868E15, -1,2931777116344005E-14, x, x), LN(x), TANH(-3,9022400985889234E-5), LN(x), MAX(1,5862521466456572E15, x, x, x, 0,26829117090779775, x, 2,204099039460711E-5), x, EXP(-2,3490695984227844E16), x)
exp,csv	0	0,15	3	100	1	3	2	10	400	700	10000	100	50	800	10	300	10	3837353858548960000000000000000000	5 minutes, 46,489 seconds	0,9998786427921411 * SUBTRACT(EXP(x), EXP(-1,5150557373458392E29), PRODUCT(x, -5,03182384980645E11, x, x), -3,3526613183011383E-12, -9,854000065190656E15)
exp,csv	0	0,15	3	100	1	3	2	10	400	400	10000	100	50	600	10	300	10	4117393996418850000000000000000000	11 minutes, 58,094 seconds	-0,9998830838036394 * SUBTRACT(TANH(x), SUBTRACT(9,497733478605982E15, -8,153664790055821E-20, x, x, x, x, x), LESS_THAN(-3,3795442317225953E-31, 1,6150601629014826E-21), x, EXP(x), ABS(1,9142129580494618E-26), EXP(-5,2234401993940745E-21), x)
exp,csv	0	0,15	3	100	1	3	2	10	400	400	10000000000000000000000000000000000000000	200	50	600	10	100	10	4353883117270010000000000000000000	14 minutes, 42,113 seconds	1,0001189320332307 * MAX(SUBTRACT(x, x, x, x), x, PRODUCT(-6,815528638206331E-25, x, x, x, -7,532264719166268E-10, x, x, x), x, EXP(x), SQRT(x))
exp,csv	1	0,15	3	100	1	3	2	10	400	400	10000	100	50	600	50	300	10	4865343820303440000000000000000000	11 minutes, 57,956 seconds	-0,9998729074092516 * SUBTRACT(MIN(x, x, -1,0322713259689416E16, x, -9,765318247914208E-41, x), SQRT(x), EXP(x), MIN(x, 5,502794658741944E-31, 1,984822271389187E-37, x), x)
exp,csv	1	0,15	3	100	1	3	2	10	400	400	10000000000000000000000000000000000000000	200	50	600	10	100	10	6023968838632570000000000000000000	9 minutes, 5,649 seconds	0,9998585819577186 * SUM(SIGN(x), MIN(-2,323455323903547E15, x), -8,219653664456008E-13, x, x, EXP(x), 1,3817372270865904E16)
exp,csv	0	0,15	3	100	1	3	2	10	400	400	10000	100	50	800	10	300	50	7383920905143050000000000000000000	15 minutes, 32,966 seconds	1,000156569434406 * SUBTRACT(EXP(x), ABS(-5,357426336383142E-5), MAX(x, x, x, x, 2,401285135604747E13, x, -0,03591328189034483), x, LN(x), x, 1,2688832346842232E16, SQRT(x))
exp,csv	0	0,15	3	100	1	5	2	10	400	400	10000	100	50	800	10	300	10	10403306212749100000000000000000000	28 minutes, 17,708 seconds	0,9998161574008329 * EXP(MAX(ABS(LN(28,43817262703557)), x, x, MIN(SQRT(x), -0,04667682176236943, -247289,18976194767, 45,50336095782562, EXP(-2,0807255850259618E-5), MIN(x, 0,02942207241394699, x, x, x, x, 32,712395755981504, -4,407074168215877), MAX(x, x, 7,837211374214659E-6, 304,49207228490263, 284,6186051535617, x, -16406,589027685928), LESS_THAN(x, -109,25619052345019), SIGN(-0,022147210748873408)), LN(COS(x)), 4,731022432214889, x))
exp,csv	1	0,15	3	50	1	3	2	10	400	400	10000	100	50	800	10	300	10	12229917813213700000000000000000000	6 minutes, 38,719 seconds	-0,999798499914851 * SUBTRACT(-1,0941443246775312E16, ABS(-5,474738597794732E15), COS(x), -4,93600887008862E13, EXP(x))
