-0.029078668953865267 * SUBTRACT(MAX(24.788937256082427, x, x, -5.1248903037063144E-6), x, 76.99832888864498, x)																																																			
x	y-expected	y-calculated	difference	difference^2																																															
96	4,3839177422	5,0305611353	0,6466433931	0,4181476779																																															
97	3,6495634419	5,0596398043	1,4100763624	1,9883153477																																															
98	3,7656792334	5,0887184732	1,3230392398	1,7504328301																																															
99	4,6349407305	5,1177971422	0,4828564117	0,2331503143																																															
100	5,4674890583	5,1468758111	0,3206132472	0,1027928543																																															
101	5,5071253866	5,1759544801	0,3311709065	0,1096741693																																															
SUM			1,3672055541	1,3830419603																																															
AVG			0,0135366887	0,0136934848																																															
																																																			
																																																			
generation	50	49	48	47	46	45	44	43	42	41	40	39	38	37	36	35	34	33	32	31	30	29	28	27	26	25	24	23	22	21	20	19	18	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	0
best	0,8005559868	0,8005559868	0,8005559868	0,8005559868	0,8005559868	0,8005559868	0,8005559868	0,8005559868	0,8005559868	0,8005559868	0,8005559868	0,8013254654	0,8013254654	0,8013254654	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8029422677	0,8053493141	0,8053493141	0,8053493141	0,8053493141	0,8053493141	0,8185299728	0,8185299728	0,8185299728	0,8487206187	0,8538834368	0,872969582	0,8739015822	0,8739015822	0,8739015822	0,8739015822	0,8860910077	0,8860910077	1,0317436606	1,0317436606	1,0999912881	1,0999912881	1,0999912881	2,7136112036	10,8406681253
avg	0,8005559868	0,8005559868	0,8005559868	0,8005559868	0,8005559868	0,8005559868	0,8005559868	0,8005636816	0,8008868626	0,8012254332	0,8013100758	0,8017008996	0,8021867556	0,8023855149	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8025065834	0,8027689366	0,8039241808	0,8049700859	0,8052479064	0,8053252436	0,8085126722	0,8153666147	0,8178709399	0,8181345531	0,8183981663	0,8280054654	0,8442222533	0,8588027973	0,8699326177	0,8727522677	0,8738922622	0,8770708328	0,8830963883	0,9271182531	0,9813694993	1,0177829074	1,0662306275	1,092484049	1,2044572046	1,885676293	4,3340920007	9,5733254564	14,697449662	1797693134862320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
worst	0,8005559868	0,8005559868	0,8005559868	0,8005559868	0,8005559868	0,8005559868	0,8005559868	0,8013254654	0,8013254654	0,8013254654	0,8013254654	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8024296836	0,8029422677	0,8029422677	0,8053493141	0,8053493141	0,8053493141	0,8053493141	0,8185299728	0,8185299728	0,8185299728	0,8185299728	0,8185299728	0,8487206187	0,8673569762	0,872119303	0,8739015822	0,8739015822	0,8739015822	0,8860910077	0,9205843057	1,0089880248	1,0317436606	1,0999912881	1,0999912881	1,0999912881	2,0568706312	2,7136112036	10,8406681253	14,9205622126	24,8205622126	179769313486232000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
variance	6,66133814775093E-016	6,66133814775093E-016	6,66133814775093E-016	6,66133814775093E-016	6,66133814775093E-016	6,66133814775093E-016	6,66133814775093E-016	1,52356759108097E-005	0,0003771984	0,0001740561	3,01635603876792E-005	0,0004955731	0,0003789677	0,000084804	5,55111512312577E-016	5,55111512312577E-016	5,55111512312577E-016	5,55111512312577E-016	5,55111512312577E-016	5,55111512312577E-016	5,55111512312577E-016	0,0001261157	0,0002035518	0,0012256146	0,0006446879	0,0001947028	4,76595181632679E-005	0,0048083043	0,0048083043	0,0012521626	0,0007671143	0,000260977	0,0121286304	0,0093235464	0,0100756691	0,003739069	0,0017656934	1,84536025814963E-005	0,0046904909	0,0051490914	0,0480151498	0,0444337045	0,0219957445	0,0364615134	0,0133628855	0,1739702292	0,5208620087	2,7306888888	2,9748856537	3,2219079976	3559432407027380000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
CP	0,61	0,6	0,59	0,58	0,57	0,58	0,59	0,58	0,59	0,6	0,59	0,58	0,59	0,6	0,59	0,58	0,57	0,56	0,55	0,56	0,55	0,56	0,55	0,56	0,57	0,58	0,57	0,56	0,57	0,56	0,57	0,56	0,57	0,56	0,57	0,58	0,59	0,58	0,59	0,58	0,57	0,58	0,57	0,58	0,59	0,6	0,59	0,6	0,61	0,6	0,6
MP	0,35	0,34	0,33	0,32	0,31	0,32	0,33	0,34	0,33	0,34	0,35	0,34	0,33	0,32	0,31	0,3	0,29	0,28	0,27	0,28	0,29	0,3	0,29	0,28	0,27	0,28	0,29	0,28	0,27	0,26	0,27	0,28	0,27	0,26	0,25	0,24	0,25	0,26	0,27	0,28	0,27	0,28	0,27	0,28	0,29	0,3	0,31	0,3	0,31	0,3	0,3
																																																			
																																																			
Total execution time: 5 minutes, 46.974 seconds																																																			
